SampleID,Condition,Group
 GSM674344 ,cord blood, non-smoker
 GSM674346 ,cord blood, non-smoker
 GSM674347 ,cord blood, non-smoker
 GSM674348 ,cord blood, non-smoker
 GSM674349 ,cord blood, non-smoker
 GSM674350 ,cord blood, non-smoker
 GSM674353 ,cord blood, non-smoker
 GSM674354 ,cord blood, non-smoker
 GSM674355 ,cord blood, non-smoker
 GSM674356 ,cord blood, non-smoker
 GSM674357 ,cord blood, non-smoker
 GSM674358 ,cord blood, non-smoker
 GSM674361 ,cord blood, non-smoker
 GSM674363 ,cord blood, non-smoker
 GSM674364 ,cord blood, non-smoker
 GSM674365 ,cord blood, non-smoker
 GSM674366 ,cord blood, non-smoker
 GSM674367 ,cord blood, non-smoker
 GSM674368 ,cord blood, non-smoker
 GSM674370 ,cord blood, non-smoker
 GSM674371 ,cord blood, non-smoker
 GSM674373 ,cord blood, non-smoker
 GSM674375 ,cord blood, non-smoker
 GSM674379 ,cord blood, non-smoker
 GSM674380 ,cord blood, non-smoker
 GSM674381 ,cord blood, non-smoker
 GSM674382 ,cord blood, non-smoker
 GSM674384 ,cord blood, non-smoker
 GSM674385 ,cord blood, non-smoker
 GSM674388 ,cord blood, non-smoker
 GSM674389 ,cord blood, non-smoker
 GSM674390 ,cord blood, non-smoker
 GSM674391 ,cord blood, non-smoker
 GSM674393 ,cord blood, non-smoker
 GSM674394 ,cord blood, non-smoker
 GSM674395 ,cord blood, non-smoker
 GSM674397 ,cord blood, non-smoker
 GSM674398 ,cord blood, non-smoker
 GSM674400 ,cord blood, non-smoker
 GSM674401 ,cord blood, non-smoker
 GSM674402 ,cord blood, non-smoker
 GSM674403 ,cord blood, non-smoker
 GSM674405 ,cord blood, non-smoker
 GSM674406 ,cord blood, non-smoker
 GSM674407 ,cord blood, non-smoker
 GSM674181 ,maternal peripheral, non-smoker
 GSM674183 ,maternal peripheral, non-smoker
 GSM674184 ,maternal peripheral, non-smoker
 GSM674185 ,maternal peripheral, non-smoker
 GSM674186 ,maternal peripheral, non-smoker
 GSM674187 ,maternal peripheral, non-smoker
 GSM674190 ,maternal peripheral, non-smoker
